time,ch,can_id,ext,rtr,dlc,data_hex
1784452733.902180,CAN1,3,0,0,10,73 09 00 9F EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452734.127155,CAN1,3,0,0,10,73 09 00 A0 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452734.352090,CAN1,3,0,0,10,73 09 00 A1 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452734.571284,TX,100,0,0,12,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1784452734.576117,CAN1,3,0,0,10,73 09 00 A2 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452734.801408,CAN1,3,0,0,10,73 09 00 A3 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452734.989688,TX,100,0,0,12,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1784452735.026492,CAN1,3,0,0,10,73 09 00 A4 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452735.251200,CAN1,3,0,0,10,73 09 00 A5 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452735.475191,CAN1,3,0,0,10,73 09 00 A6 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452735.506370,TX,100,0,0,12,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1784452735.700708,CAN1,3,0,0,10,73 09 00 A7 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452735.925218,CAN1,3,0,0,10,73 09 00 A8 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452736.150218,CAN1,3,0,0,10,73 09 00 A9 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452736.374110,CAN1,3,0,0,10,73 09 00 AA EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452736.597979,CAN1,3,0,0,10,73 09 00 AB EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452736.824002,CAN1,3,0,0,10,73 09 00 AC EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452776.149952,CAN1,3,0,0,10,73 09 00 5B EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452776.374134,CAN1,3,0,0,10,73 09 00 5C EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452776.597965,CAN1,3,0,0,10,73 09 00 5D EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452776.824140,CAN1,3,0,0,10,73 09 00 5E EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452800.868022,CAN1,3,0,0,10,73 09 00 C9 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452801.093066,CAN1,3,0,0,10,73 09 00 CA EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452801.317085,CAN1,3,0,0,10,73 09 00 CB EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452801.543069,CAN1,3,0,0,10,73 09 00 CC EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452801.767149,CAN1,3,0,0,10,73 09 00 CD EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452801.992073,CAN1,3,0,0,10,73 09 00 CE EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452802.216584,CAN1,3,0,0,10,73 09 00 CF EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452802.442035,CAN1,3,0,0,10,73 09 00 D0 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452802.666054,CAN1,3,0,0,10,73 09 00 D1 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452802.891125,CAN1,3,0,0,10,73 09 00 D2 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452803.115071,CAN1,3,0,0,10,73 09 00 D3 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452803.341083,CAN1,3,0,0,10,73 09 00 D4 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452803.565423,CAN1,3,0,0,10,73 09 00 D5 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452803.790390,CAN1,3,0,0,10,73 09 00 D6 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452804.014075,CAN1,3,0,0,10,73 09 00 D7 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452804.240042,CAN1,3,0,0,10,73 09 00 D8 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452804.464055,CAN1,3,0,0,10,73 09 00 D9 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452804.688047,CAN1,3,0,0,10,73 09 00 DA EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452804.913337,CAN1,3,0,0,10,73 09 00 DB EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452805.138273,CAN1,3,0,0,10,73 09 00 DC EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452805.363510,CAN1,3,0,0,10,73 09 00 DD EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452805.587220,CAN1,3,0,0,10,73 09 00 DE EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452805.812090,CAN1,3,0,0,10,73 09 00 DF EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452806.037046,CAN1,3,0,0,10,73 09 00 E0 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452806.262035,CAN1,3,0,0,10,73 09 00 E1 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452806.486252,CAN1,3,0,0,10,73 09 00 E2 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452806.711312,CAN1,3,0,0,10,73 09 00 E3 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452806.936103,CAN1,3,0,0,10,73 09 00 E4 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452807.161123,CAN1,3,0,0,10,73 09 00 E5 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
1784452807.385045,CAN1,3,0,0,10,73 09 00 E6 EC 3F 3D 3B 00 00 DC 00 62 A1 65 01
